,ID,Category,ID Category,Asset ID,Asset Name,Purchase Date,Cost (Finance),Cost (GA & Supply Chain),PIC,Department,Site,ID Site,Brand,Model,Serial Number,Notes,Status,Price
410,FA366,Elektronik,I,FA366/I/01,CCTV Ezviz C6N 2 MP Black Smart Home Wifi IP Camera CCTV Indoor 1080p,08-May-24,"Rp642,100",,Dimas,HRGA & Legal,BSD,1,Ezviz,,,,Active,
411,FA367,Elektronik,I,FA367/I/01,CCTV Ezviz C6N 2 MP Black Smart Home Wifi IP Camera CCTV Indoor 1080p,08-May-24,"Rp642,100",,Dimas,HRGA & Legal,BSD,1,Ezviz,,,,Active,
412,FA368,Elektronik,I,FA368/I/01,CCTV Ezviz C6N 2 MP Black Smart Home Wifi IP Camera CCTV Indoor 1080p,08-May-24,"Rp642,100",,Dimas,HRGA & Legal,BSD,1,Ezviz,,,,Active,
413,FA369,Elektronik,I,FA369/I/01,CCTV Ezviz C6N 2 MP Black Smart Home Wifi IP Camera CCTV Indoor 1080p,08-May-24,"Rp642,100",,Dimas,HRGA & Legal,BSD,1,Ezviz,,,,Active,
414,FA370,Elektronik,I,FA370/I/01,Bardi Smart Door Lock with Handle (Lite Version),08-May-24,"Rp1,210,200",,Daniella,HRGA & Legal,BSD,1,Bardi,,,,Active,
415,FA371,Elektronik,I,FA371/I/01,"Access control Access Door Akses Drop bolt lock RFID Card PIN - Dropbolt Lock, No Touch",08-May-24,"Rp816,900",,Daniella,HRGA & Legal,BSD,1,,,,,Active,
416,FA372,Elektronik,I,FA372/I/01,"Access control Access Door Akses Drop bolt lock RFID Card PIN - Dropbolt Lock, No Touch",08-May-24,"Rp816,900",,Daniella,Engineering,BSD,1,,,,,Active,
417,FA373,Furniture,II,FA373/II/01,HECTOR OFFICE TABLE WALNUT BLACK,31-May-24,"Rp799,000",,Melisa,Business & Digital Development,BSD,1,Informa,,,,Active,
418,FA374,Furniture,II,FA374/II/01,HECTOR OFFICE TABLE WALNUT BLACK,31-May-24,"Rp799,000",,Eka Puteri,Sales & Marketing,BSD,1,Informa,,,,Active,
419,FA375,Furniture,II,FA375/II/01,HECTOR OFFICE TABLE WALNUT BLACK,31-May-24,"Rp799,000",,Gabriella,PITD,BSD,1,Informa,,,,Active,
420,FA376,Elektronik,I,FA376/I/01,CCTV Ezviz C6N 2 MP Black Smart Home Wifi IP Camera CCTV Indoor 1080p,04-Jun-24,"Rp651,200",,Dimas,HRGA & Legal,BSD,1,Ezviz,,,,Active,
421,FA377,Laptop and Komp,III,FA377/III/01,"Laptop Lenovo V14 G3 i3 1215GU 8GB 256SSD 14.0HD Windows 11 Resmi - Unit, 8/256 GB",07-Jun-24,"Rp5,396,175",,,HRGA & Legal,BSD,1,Lenovo,,,,Active,
422,FA378,Furniture,II,FA378/II/01,Bracket Standing TV,19-Jun-24,"Rp576,340",,Gilbert Bagas,Supply Chain,BSD,1,,,,,Active,
423,FA379,Machine and Tooling,V,FA379/V/01,MITUTOYO 103-139-10 OUTSIDE Micrometer Economy Design 50-75mm 0.01mm,28-Jun-24,"Rp983,900",,Rifky Fauzi,Engineering,BSD,1,Tokopedia,,,,Active,
424,FA380,Machine and Tooling,V,FA380/V/01,Clamping Kit M12 Claim Milling - Clamping Set M12,28-Jun-24,"Rp563,000",,Herfian,Engineering,BSD,1,,,,,Active,
425,FA381,Elektronik,I,FA381/I/01,Dispenser Cosmos CWD-7601 (3 keran),05-Jul-24,"Rp1,150,000",,Hari TM,Engineering,BSD,1,Cosmos,,,,Active,
426,FA382,Furniture,II,FA382/II/01,Informa Carter Credenza Kabinet Kantor Metal 2 Pintu - Putih,12-Jun-24,"Rp1,399,000",,Arina,HRGA & Legal,BSD,1,Informa,,,,Active,
427,FA383,Machine and Tooling,V,FA383/V/01,"Magnetic Dial Holder 0,01 | Merk Mitutoyo | 1 Set",03-Jul-24,"Rp1,350,000",,Herfian,Engineering,BSD,1,Techo,,,,Active,
428,FA384,Machine and Tooling,V,FA384/V/01,MITUTOYO Micrometer / Micro meter 103-137 / 0-25mm / 0.01 mm,12-Jul-24,"Rp880,000",,Rifky Fauzi,Engineering,BSD,1,Tokopedia,,,,Active,
429,FA385,Machine and Tooling,V,FA385/V/01,Caliper Digital 200 mm | Mitutoyo,19-Jul-24,"Rp2,500,000",,Rifky Fauzi,Engineering,BSD,1,Techo,,,,Active,
430,FA386,Furniture,II,FA386/II/01,Nakas laci minimalis/ rak kantor locker bedside table,23-Jul-24,"Rp424,900",,Arina,HRGA & Legal,BSD,1,,,,,Active,
